iter	Passed	Remaining
0	142	142408
1	146	73134
2	150	50128
3	153	38145
4	156	31094
5	158	26268
6	160	22814
7	163	20245
8	165	18261
9	168	16651
10	171	15385
11	173	14277
12	175	13353
13	178	12555
14	179	11819
15	181	11155
16	182	10559
17	183	10030
18	185	9565
19	186	9133
20	187	8748
21	188	8394
22	189	8069
23	191	7771
24	192	7501
25	193	7249
26	194	7015
27	195	6797
28	196	6595
29	198	6408
30	199	6242
31	200	6075
32	202	5919
33	203	5770
34	204	5631
35	205	5501
36	206	5378
37	207	5260
38	208	5148
39	210	5041
40	211	4939
41	212	4843
42	213	4756
43	214	4670
44	216	4588
45	217	4509
46	218	4432
47	219	4358
48	221	4293
49	222	4229
50	223	4163
51	224	4099
52	226	4038
53	227	3979
54	228	3929
55	229	3874
56	230	3820
57	232	3769
58	233	3719
59	234	3672
60	235	3625
61	236	3580
62	237	3536
63	238	3494
64	240	3453
65	241	3413
66	242	3374
67	243	3342
68	245	3306
69	246	3270
70	247	3235
71	248	3203
72	249	3170
73	250	3138
74	251	3107
75	253	3076
76	254	3046
77	255	3017
78	256	2989
79	257	2961
80	258	2937
81	260	2910
82	260	2879
83	261	2854
84	262	2830
85	264	2806
86	265	2786
87	266	2763
88	267	2741
89	268	2719
90	270	2697
91	271	2675
92	272	2654
93	273	2634
94	274	2614
95	275	2594
96	276	2578
97	278	2559
98	279	2541
99	280	2523
100	281	2505
101	282	2487
102	283	2470
103	284	2454
104	285	2437
105	287	2421
106	288	2405
107	289	2390
108	290	2374
109	292	2362
110	293	2347
111	294	2333
112	295	2318
113	296	2304
114	297	2290
115	298	2276
116	299	2261
117	300	2248
118	301	2235
119	303	2222
120	304	2209
121	305	2195
122	306	2187
123	308	2177
124	309	2167
125	310	2155
126	311	2142
127	312	2131
128	313	2120
129	315	2108
130	316	2097
131	317	2086
132	318	2075
133	319	2064
134	320	2055
135	321	2045
136	323	2035
137	324	2025
138	325	2015
139	326	2005
140	327	1995
141	328	1983
142	329	1974
143	330	1965
144	332	1958
145	333	1949
146	334	1941
147	336	1935
148	337	1926
149	338	1918
150	339	1909
151	340	1901
152	341	1892
153	343	1884
154	344	1876
155	345	1868
156	346	1860
157	347	1852
158	348	1844
159	349	1836
160	350	1828
161	352	1821
162	353	1813
163	354	1806
164	355	1798
165	356	1791
166	357	1784
167	358	1776
168	359	1769
169	361	1762
170	362	1756
171	363	1749
172	364	1742
173	366	1737
174	367	1731
175	368	1724
176	369	1717
177	370	1711
178	371	1704
179	372	1697
180	373	1691
181	374	1685
182	376	1678
183	377	1672
184	378	1666
185	379	1660
186	380	1655
187	381	1649
188	383	1643
189	384	1637
190	385	1631
191	386	1626
192	387	1620
193	388	1614
194	389	1609
195	391	1604
196	392	1598
197	393	1593
198	394	1589
199	396	1584
200	397	1578
201	398	1573
202	399	1568
203	400	1562
204	401	1557
205	402	1552
