iter	Passed	Remaining
0	953	952532
1	962	480161
2	967	321375
3	970	241745
4	978	194758
5	982	162793
6	986	140001
7	990	122869
8	994	109555
9	998	98883
10	1002	90155
11	1007	82968
12	1012	76861
13	1016	71616
14	1024	67297
15	1026	63150
16	1028	59491
17	1030	56236
18	1032	53324
19	1036	50801
20	1038	48432
21	1040	46266
22	1042	44297
23	1044	42484
24	1046	40816
25	1051	39403
26	1054	37999
27	1056	36680
28	1058	35454
29	1061	34309
30	1063	33250
31	1066	32273
32	1072	31427
33	1075	30570
34	1080	29781
35	1084	29051
36	1086	28274
37	1087	27535
38	1088	26831
39	1090	26162
40	1091	25530
41	1092	24924
42	1093	24345
43	1095	23794
44	1098	23308
45	1099	22806
46	1101	22337
47	1103	21881
48	1106	21470
49	1107	21044
50	1109	20636
51	1110	20243
52	1112	19870
53	1113	19504
54	1114	19151
55	1115	18810
56	1116	18478
57	1118	18161
58	1119	17859
59	1122	17579
60	1124	17309
61	1125	17032
62	1127	16763
63	1128	16506
64	1129	16251
65	1131	16007
66	1132	15771
67	1133	15538
68	1134	15312
69	1137	15107
70	1139	14906
71	1140	14701
72	1141	14499
73	1142	14302
74	1144	14110
75	1145	13926
76	1147	13757
77	1148	13579
78	1149	13406
79	1152	13259
80	1154	13098
81	1155	12939
82	1156	12777
83	1157	12626
84	1159	12480
85	1160	12336
86	1161	12193
87	1163	12053
88	1164	11917
89	1166	11797
90	1168	11670
91	1169	11542
92	1170	11417
93	1171	11295
94	1173	11176
95	1174	11060
96	1175	10945
97	1176	10831
98	1177	10720
99	1179	10612
100	1181	10519
101	1183	10415
102	1184	10314
103	1185	10214
104	1187	10118
105	1188	10023
106	1189	9931
107	1192	9845
108	1193	9759
109	1196	9683
110	1198	9599
111	1200	9520
112	1202	9437
113	1203	9356
114	1205	9273
115	1206	9191
116	1207	9109
117	1208	9031
118	1209	8954
119	1211	8886
120	1213	8815
121	1214	8740
122	1216	8671
123	1217	8601
124	1218	8530
125	1220	8463
126	1221	8394
127	1222	8327
128	1223	8261
129	1226	8206
130	1227	8143
131	1229	8083
132	1230	8022
133	1231	7961
134	1233	7901
135	1234	7842
136	1235	7784
137	1236	7726
138	1238	7669
139	1240	7622
140	1242	7567
141	1243	7511
142	1244	7457
143	1245	7404
144	1246	7350
145	1247	7299
146	1249	7248
147	1250	7197
148	1251	7146
149	1252	7097
150	1254	7054
151	1256	7010
152	1257	6963
153	1259	6917
154	1260	6871
155	1261	6827
156	1263	6781
157	1264	6736
158	1265	6692
159	1266	6648
160	1267	6603
161	1269	6568
162	1271	6530
163	1273	6489
164	1274	6449
165	1275	6409
166	1276	6369
167	1278	6329
168	1279	6290
169	1280	6251
170	1281	6213
171	1282	6175
172	1285	6145
173	1286	6108
174	1287	6071
175	1289	6035
176	1290	6000
177	1291	5965
178	1293	5930
179	1294	5895
180	1295	5861
181	1296	5827
182	1297	5793
183	1300	5766
184	1301	5734
185	1302	5702
186	1304	5669
187	1305	5639
188	1307	5608
189	1308	5577
190	1309	5548
191	1311	5517
192	1312	5486
193	1314	5462
194	1316	5434
195	1317	5406
196	1319	5376
197	1320	5349
198	1321	5321
199	1323	5292
200	1324	5264
201	1325	5236
202	1326	5208
203	1329	5186
204	1330	5159
205	1331	5132
206	1332	5105
207	1333	5078
208	1334	5052
209	1336	5026
210	1337	5000
211	1338	4974
212	1339	4949
213	1340	4925
214	1344	4907
215	1345	4883
216	1346	4859
217	1347	4835
218	1349	4811
219	1350	4787
220	1351	4763
221	1352	4740
222	1353	4716
223	1354	4693
224	1356	4671
225	1358	4654
226	1360	4631
227	1361	4609
228	1362	4587
229	1363	4565
230	1365	4544
231	1366	4523
232	1367	4501
233	1368	4480
234	1370	4459
235	1371	4438
236	1373	4423
237	1375	4403
238	1376	4383
239	1378	4366
240	1380	4346
241	1381	4326
242	1382	4306
243	1383	4286
244	1384	4266
245	1385	4247
246	1386	4227
247	1388	4211
248	1390	4193
249	1391	4175
250	1393	4156
251	1394	4139
252	1395	4120
253	1396	4102
254	1398	4085
255	1399	4067
256	1476	4268
257	1480	4256
258	1484	4247
259	1488	4236
260	1492	4226
261	1496	4214
262	1504	4216
